t,value
844,-0.48497337
845,-0.5705613
846,-0.7598741
847,-0.7940493
848,-0.7280971
849,-0.6519523
850,-0.13752526
851,-0.69901824
852,-0.6320168
853,-0.54313123
854,-0.7977966
855,-0.6559994
856,-0.71340775
857,-0.76616955
858,-0.5603687
859,-0.7991456
860,-1.0
861,-1.0
862,-0.80604064
863,-0.8048415
864,-0.71535635
865,-0.5883984
866,-0.64910436
867,-0.6747358
868,0.27152812
869,-0.53099
870,-0.6673911
871,-0.58704937
872,-0.49606532
873,-0.6050364
874,-0.72405005
875,-0.6922731
876,-0.7072622
877,-0.71745485
878,-0.67833316
879,-0.60053957
880,-0.65779805
881,-0.24035072
882,-0.6021884
883,-0.49276775
884,-0.70561343
885,-0.75687623
886,-0.63306606
887,-0.6676909
888,-0.73559165
889,-0.60458666
890,-0.7986959
891,-1.0
892,-1.0
893,-0.66499287
894,-0.69647
895,-0.71055984
896,-0.6877763
897,-0.7210522
898,-0.6939219
899,-0.64940417
900,-0.6000899
901,-0.6503035
902,-0.7453346
903,-0.60833395
904,-0.6718879
905,-0.7011167
906,-0.7080117
907,-0.6158285
908,-0.6396612
909,-0.72045267
910,-0.72884655
911,-0.29221314
912,-0.4191711
913,-0.20542604
914,-0.7140074
915,-0.74473506
916,-0.68582773
917,-0.71355766
918,-0.70441425
919,-0.74173725
920,-0.71310794
921,-1.0
922,-1.0
923,-0.71625566
924,-0.7074121
925,-0.69287264
926,-0.6589972
927,-0.64640635
928,-0.61313045
929,-0.65015364
930,-0.7071123
931,-0.69347227
932,-0.7194034
933,-0.7194034
934,-0.71565616
935,-0.6522521
936,-0.7418871
937,-0.7444353
938,-0.7385895
939,-0.7373904
940,-0.7421869
941,-0.73079515
942,-0.33133477
943,-0.52409506
944,-0.39998502
945,-0.7219516
946,-0.700667
947,-0.7439856
948,-0.71445704
949,-0.6733868
950,-0.7099603
951,-0.76601964
952,-1.0
953,-1.0
954,-0.7354418
955,-0.71745485
956,-0.6700892
957,-0.7080117
958,-0.639961
959,-0.6492543
960,-0.6545005
961,-0.63591397
962,-0.6461066
963,-0.60728467
964,-0.6323166
965,-0.6907742
966,-0.6867271
967,-0.587499
968,-0.6458068
969,-0.6156786
970,-0.53743535
971,-0.5924455
972,-0.6627445
973,-0.39563817
974,-0.72794724
975,-0.5437308
976,-0.7430862
977,-0.7628719
978,-0.6963202
979,-0.7033651
980,-0.74488497
981,-0.71235853
982,-0.7119088
983,-1.0
984,-1.0
985,-0.60128903
986,-0.7675185
987,-0.76916736
988,-0.7236004
989,-0.71715504
990,-0.68253016
991,-0.6168778
992,-0.66484296
993,-0.76227236
994,-0.4861725
995,-0.6906243
996,-0.7053137
997,-0.6527018
998,-0.53908414
999,-0.5776062
1000,-0.6589972
1001,-0.36910737
1002,-0.39024204
1003,-0.33987856
1004,-0.6525519
1005,-0.6985685
1006,-0.678633
1007,-0.67458594
1008,-0.67923254
1009,-0.6766844
1010,-0.72210145
1011,-0.67383647
1012,-0.5904969
1013,-1.0
1014,-1.0
1015,-0.6168778
1016,-0.65614927
1017,-0.7140074
1018,-0.6787829
1019,-0.58405155
1020,-0.6507532
1021,-0.79899573
1022,-0.74353594
1023,-0.753129
1024,-0.75537735
1025,-0.5651653
1026,-0.5450798
1027,-0.62602115
1028,-0.7921007
1029,-0.7675185
1030,-0.46144044
1031,-0.7618227
1032,-0.65914714
1033,-0.5347373
1034,-0.47538036
1035,-0.67773366
1036,-0.7012666
1037,-0.51869893
1038,-0.71910363
1039,-0.606835
1040,-0.5871993
1041,-0.7405381
1042,-0.5952934
1043,-0.6321666
1044,-1.0
1045,-1.0
1046,-1.0
1047,-1.0
1048,-1.0
1049,-1.0
1050,-1.0
1051,-1.0
1052,-1.0
1053,-1.0
1054,-1.0
1055,-1.0
1056,-1.0
1057,-1.0
1058,-1.0
1059,-1.0
1060,-1.0
1061,-1.0
1062,-1.0
1063,-1.0
1064,-0.64715576
1065,-0.68223035
1066,-0.68253016
1067,-0.65495014
1068,-0.80903846
1069,-0.59679234
1070,-0.6607959
1071,-0.7457843
1072,-0.5047591
1073,-0.7956981
